type,memberId,name,email,number,maxBooksAllowed,studentId,department
STU,M001,Mert B,m001@test.com,866206,4,S9294,CS
STU,M002,Nisa C,m002@test.com,124031,4,S9510,BIO
REG,M003,Charlie D,m003@test.com,117806,2,,
STU,M004,Mert E,m004@test.com,165842,4,S1067,MATH
STU,M005,Mert F,m005@test.com,944137,4,S9410,CS
REG,M006,Nisa G,m006@test.com,565788,2,,
STU,M007,Pelin H,m007@test.com,274590,4,S8440,CS
STU,M008,Jale I,m008@test.com,177882,4,S9507,MATH
REG,M009,Charlie J,m009@test.com,111575,2,,
STU,M010,Ipek K,m010@test.com,563993,4,S1047,EE
STU,M011,Fatma L,m011@test.com,166666,4,S4960,BIO
REG,M012,Gokhan M,m012@test.com,158633,2,,
STU,M013,Alice N,m013@test.com,560352,4,S5565,ME
STU,M014,Bob O,m014@test.com,433674,4,S3243,ME
REG,M015,Ozan P,m015@test.com,781613,2,,
STU,M016,Gokhan Q,m016@test.com,376800,4,S7387,EE
STU,M017,Fatma R,m017@test.com,747509,4,S8688,CS
REG,M018,Alice S,m018@test.com,206781,2,,
STU,M019,Jale T,m019@test.com,260302,4,S1248,MATH
STU,M020,Hakan U,m020@test.com,969137,4,S9036,ME
REG,M021,Ipek V,m021@test.com,750953,2,,
STU,M022,Lina W,m022@test.com,625386,4,S3109,CS
STU,M023,Nisa X,m023@test.com,782056,4,S9011,ME
REG,M024,Efe Y,m024@test.com,418813,2,,
STU,M025,Fatma Z,m025@test.com,970518,4,S8224,EE
STU,M026,Efe A,m026@test.com,920956,4,S8860,EE
REG,M027,Jale B,m027@test.com,997212,2,,
STU,M028,Bob C,m028@test.com,893732,4,S4923,MATH
STU,M029,Ipek D,m029@test.com,330302,4,S4856,CS
REG,M030,Lina E,m030@test.com,201226,2,,
STU,M031,Jale F,m031@test.com,508380,4,S6895,BIO
STU,M032,Ozan G,m032@test.com,241081,4,S6852,BUS
REG,M033,Kerem H,m033@test.com,660894,2,,
